frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.000,  0.98,  1,  -12.6,  -43.4,  572.9,  0.315,  -0.044,  0.015, 0.19, 0.00, 0.22, 0.00, 0.00, 0.26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.25, 0.17, 0.00, 0.52, 0.54, 0.12, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
2,  0,  0.042,  0.93,  1,  -12.4,  -44.7,  574.4,  0.288,  -0.049,  0.011, 0.06, 0.00, 0.20, 0.03, 0.00, 0.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.33, 0.14, 0.43, 0.17, 0.36, 0.04, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
3,  0,  0.083,  0.93,  1,  -12.4,  -45.0,  574.7,  0.285,  -0.051,  0.010, 0.00, 0.00, 0.22, 0.05, 0.00, 0.13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.25, 0.09, 0.44, 0.00, 0.24, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
4,  0,  0.125,  0.98,  1,  -12.4,  -44.3,  572.9,  0.307,  -0.052,  0.014, 0.00, 0.00, 0.31, 0.02, 0.00, 0.16, 0.00, 0.00, 0.00, 0.03, 0.00, 0.14, 0.07, 0.26, 0.18, 0.28, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
5,  0,  0.167,  0.98,  1,  -12.5,  -43.8,  570.7,  0.326,  -0.051,  0.014, 0.00, 0.00, 0.45, 0.03, 0.00, 0.23, 0.00, 0.00, 0.00, 0.03, 0.00, 0.04, 0.00, 0.01, 0.27, 0.30, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
6,  0,  0.209,  0.98,  1,  -12.6,  -44.0,  572.1,  0.322,  -0.053,  0.013, 0.00, 0.00, 0.60, 0.01, 0.00, 0.28, 0.00, 0.00, 0.00, 0.03, 0.00, 0.07, 0.00, 0.28, 0.27, 0.26, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
7,  0,  0.250,  0.93,  1,  -12.5,  -44.7,  573.5,  0.296,  -0.054,  0.008, 0.00, 0.00, 0.77, 0.01, 0.00, 0.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.10, 0.01, 0.46, 0.09, 0.19, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
8,  0,  0.292,  0.93,  1,  -12.6,  -44.6,  573.7,  0.295,  -0.053,  0.008, 0.00, 0.00, 0.92, 0.00, 0.00, 0.60, 0.05, 0.00, 0.00, 0.07, 0.00, 0.10, 0.01, 0.46, 0.00, 0.17, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
9,  0,  0.334,  0.98,  1,  -12.8,  -44.1,  572.9,  0.311,  -0.047,  0.008, 0.00, 0.00, 1.07, 0.00, 0.00, 0.66, 0.11, 0.00, 0.00, 0.19, 0.00, 0.07, 0.01, 0.18, 0.13, 0.31, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
10,  0,  0.375,  0.98,  1,  -12.8,  -44.0,  572.9,  0.325,  -0.043,  0.006, 0.00, 0.00, 1.12, 0.00, 0.00, 0.66, 0.20, 0.00, 0.00, 0.32, 0.00, 0.00, 0.00, 0.00, 0.33, 0.37, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
11,  0,  0.417,  0.98,  1,  -12.9,  -43.9,  573.1,  0.330,  -0.043,  0.006, 0.00, 0.00, 1.17, 0.00, 0.00, 0.65, 0.24, 0.00, 0.00, 0.39, 0.00, 0.00, 0.00, 0.00, 0.50, 0.45, 0.02, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
12,  0,  0.459,  0.98,  1,  -12.9,  -44.0,  572.9,  0.321,  -0.042,  0.006, 0.00, 0.00, 1.14, 0.00, 0.00, 0.70, 0.28, 0.00, 0.00, 0.47, 0.10, 0.00, 0.07, 0.00, 0.63, 0.65, 0.05, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
13,  0,  0.500,  0.98,  1,  -12.9,  -43.5,  570.0,  0.318,  -0.044,  0.008, 0.00, 0.00, 1.15, 0.00, 0.00, 0.63, 0.34, 0.00, 0.00, 0.59, 0.23, 0.07, 0.14, 0.00, 0.67, 1.07, 0.05, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
14,  0,  0.542,  0.98,  1,  -13.0,  -42.8,  567.4,  0.306,  -0.047,  0.014, 0.01, 0.00, 1.13, 0.00, 0.00, 0.69, 0.38, 0.00, 0.00, 0.63, 0.39, 0.16, 0.30, 0.00, 0.74, 1.43, 0.03, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
15,  0,  0.584,  0.98,  1,  -13.1,  -42.7,  566.8,  0.296,  -0.048,  0.017, 0.01, 0.00, 1.14, 0.00, 0.00, 0.65, 0.45, 0.00, 0.00, 0.62, 0.44, 0.25, 0.30, 0.00, 0.80, 1.70, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
16,  0,  0.626,  0.98,  1,  -13.2,  -42.6,  566.5,  0.291,  -0.050,  0.021, 0.02, 0.00, 1.13, 0.00, 0.00, 0.68, 0.46, 0.00, 0.00, 0.58, 0.44, 0.23, 0.36, 0.00, 0.91, 1.86, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
17,  0,  0.667,  0.98,  1,  -13.3,  -42.5,  566.9,  0.289,  -0.049,  0.021, 0.01, 0.00, 1.11, 0.00, 0.00, 0.66, 0.37, 0.00, 0.00, 0.72, 0.36, 0.32, 0.37, 0.00, 0.87, 1.85, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
18,  0,  0.709,  0.98,  1,  -13.4,  -42.9,  568.7,  0.294,  -0.046,  0.021, 0.01, 0.00, 1.11, 0.00, 0.00, 0.69, 0.22, 0.00, 0.00, 0.79, 0.21, 0.36, 0.48, 0.00, 0.74, 1.62, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
19,  0,  0.751,  0.98,  1,  -13.4,  -43.4,  570.1,  0.297,  -0.042,  0.020, 0.00, 0.00, 1.13, 0.00, 0.00, 0.74, 0.06, 0.00, 0.00, 0.88, 0.07, 0.41, 0.38, 0.00, 0.60, 1.27, 0.02, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
20,  0,  0.792,  0.98,  1,  -13.2,  -43.6,  570.3,  0.299,  -0.042,  0.018, 0.00, 0.00, 1.15, 0.00, 0.00, 0.70, 0.02, 0.00, 0.00, 0.79, 0.00, 0.27, 0.23, 0.00, 0.58, 1.01, 0.02, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
21,  0,  0.834,  0.98,  1,  -13.1,  -44.0,  571.6,  0.297,  -0.043,  0.016, 0.00, 0.00, 1.14, 0.00, 0.00, 0.68, 0.01, 0.00, 0.00, 0.76, 0.00, 0.14, 0.05, 0.00, 0.56, 0.85, 0.01, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
22,  0,  0.876,  0.98,  1,  -13.0,  -44.1,  571.8,  0.299,  -0.043,  0.015, 0.00, 0.00, 1.17, 0.00, 0.00, 0.67, 0.03, 0.00, 0.00, 0.70, 0.00, 0.08, 0.02, 0.00, 0.48, 0.78, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
23,  0,  0.918,  0.98,  1,  -12.9,  -44.3,  572.2,  0.297,  -0.044,  0.014, 0.00, 0.00, 1.18, 0.00, 0.00, 0.69, 0.01, 0.00, 0.00, 0.66, 0.00, 0.04, 0.00, 0.00, 0.47, 0.74, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
24,  0,  0.959,  0.98,  1,  -12.9,  -44.3,  572.5,  0.302,  -0.045,  0.014, 0.00, 0.00, 1.16, 0.00, 0.00, 0.65, 0.01, 0.00, 0.00, 0.53, 0.00, 0.04, 0.00, 0.00, 0.50, 0.71, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
25,  0,  1.001,  0.98,  1,  -12.9,  -44.3,  572.1,  0.313,  -0.046,  0.013, 0.00, 0.00, 1.09, 0.00, 0.00, 0.62, 0.00, 0.00, 0.00, 0.51, 0.00, 0.09, 0.00, 0.00, 0.60, 0.69, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
26,  0,  1.043,  0.98,  1,  -12.8,  -44.3,  572.9,  0.327,  -0.048,  0.013, 0.00, 0.00, 1.05, 0.00, 0.00, 0.57, 0.00, 0.00, 0.00, 0.48, 0.00, 0.13, 0.00, 0.00, 0.70, 0.67, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
