,frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,label
0,1,0,0.0,0.98,1,-3.7,-52.0,637.7,0.155,0.068,0.015,0.0,0.0,0.0,0.0,1.07,1.28,0.18,0.3,1.25,1.04,0.0,0.0,0.13,0.08,2.2,2.61,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Truthful
1,2,0,0.042,0.98,1,-3.8,-50.9,636.2,0.16,0.063,0.018,0.0,0.0,0.0,0.0,1.06,1.41,0.17,0.1,1.3,0.9,0.0,0.08,0.05,0.23,2.35,2.94,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Truthful
2,3,0,0.083,0.98,1,-4.0,-50.0,634.2,0.166,0.064,0.02,0.0,0.0,0.0,0.0,1.05,1.44,0.15,0.0,1.31,0.92,0.0,0.19,0.12,0.29,2.42,3.19,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Truthful
3,4,0,0.125,0.98,1,-4.0,-49.1,632.0,0.175,0.068,0.021,0.0,0.0,0.0,0.0,1.03,1.48,0.12,0.0,1.25,1.0,0.0,0.31,0.21,0.29,2.51,3.36,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Truthful
4,5,0,0.167,0.98,1,-4.0,-48.3,628.9,0.179,0.067,0.02,0.0,0.0,0.01,0.0,1.0,1.42,0.04,0.0,1.21,1.08,0.0,0.32,0.29,0.21,2.53,3.43,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Truthful
5,6,0,0.209,0.98,1,-3.8,-47.7,626.4,0.18,0.068,0.018,0.0,0.0,0.01,0.0,1.02,1.42,0.0,0.0,1.22,1.08,0.0,0.31,0.3,0.16,2.62,3.52,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Truthful
6,7,0,0.25,0.98,1,-3.6,-47.3,624.8,0.182,0.072,0.014,0.0,0.0,0.01,0.0,1.09,1.4,0.0,0.0,1.33,1.16,0.0,0.24,0.21,0.07,2.72,3.52,0.01,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Truthful
7,8,0,0.292,0.98,1,-3.2,-47.6,625.8,0.184,0.072,0.008,0.0,0.0,0.0,0.0,1.14,1.3,0.0,0.0,1.47,1.15,0.0,0.16,0.13,0.03,2.75,3.53,0.01,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Truthful
8,9,0,0.334,0.98,1,-2.9,-48.3,627.9,0.171,0.073,0.002,0.0,0.0,0.0,0.0,1.02,1.17,0.0,0.0,1.6,1.05,0.0,0.06,0.01,0.02,2.58,3.13,0.07,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Truthful
9,10,0,0.375,0.98,1,-2.4,-50.0,632.0,0.148,0.065,-0.006,0.0,0.0,0.0,0.0,0.79,0.95,0.0,0.0,1.56,0.9,0.0,0.12,0.01,0.15,1.63,2.2,0.11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Truthful
