,frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c,label
0,1,0,0.0,0.98,1,-10.0,-53.5,576.1,0.122,-0.034,-0.036,0.0,0.0,0.0,0.0,1.94,0.69,0.0,1.18,3.78,0.97,0.3,0.0,0.0,0.0,2.51,0.0,1.34,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Deceptive
1,2,0,0.042,0.98,1,-9.9,-54.1,573.4,0.105,-0.04,-0.044,0.0,0.0,0.0,0.0,2.01,0.73,0.03,1.23,3.8,1.21,0.1,0.0,0.0,0.0,2.84,0.1,1.27,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Deceptive
2,3,0,0.083,0.98,1,-10.0,-54.3,571.4,0.09,-0.042,-0.047,0.0,0.0,0.0,0.0,2.03,0.74,0.03,1.34,3.71,1.36,0.0,0.0,0.03,0.0,3.14,0.34,1.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Deceptive
3,4,0,0.125,0.98,1,-9.8,-53.9,569.2,0.085,-0.043,-0.046,0.0,0.0,0.0,0.0,2.01,0.74,0.08,1.34,3.53,1.45,0.0,0.0,0.18,0.0,3.51,0.58,1.36,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Deceptive
4,5,0,0.167,0.93,1,-9.6,-53.2,567.4,0.079,-0.043,-0.042,0.0,0.0,0.0,0.0,1.95,0.63,0.05,1.48,3.48,1.59,0.0,0.0,0.26,0.0,3.74,0.88,1.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Deceptive
5,6,0,0.209,0.93,1,-9.4,-52.3,566.4,0.083,-0.041,-0.037,0.62,0.43,0.0,0.0,1.81,0.72,0.04,1.43,3.47,1.79,0.17,0.0,0.41,0.0,3.93,0.9,1.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Deceptive
6,7,0,0.25,0.98,1,-9.2,-51.4,564.7,0.085,-0.032,-0.026,1.52,0.91,0.0,0.0,1.6,0.99,0.0,1.39,3.51,1.79,0.17,0.0,0.35,0.0,3.73,0.76,1.65,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Deceptive
7,8,0,0.292,0.98,1,-9.1,-49.6,561.0,0.107,-0.026,-0.02,2.64,1.53,0.0,0.0,1.32,1.5,0.0,1.1,3.37,1.68,0.17,0.0,0.48,0.0,3.05,0.51,1.56,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,Deceptive
8,9,0,0.334,0.98,1,-8.6,-47.6,562.6,0.121,-0.027,-0.019,3.06,1.71,0.0,0.0,0.96,1.75,0.0,0.64,2.98,1.34,0.0,0.0,0.34,0.0,2.0,0.36,1.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Deceptive
9,10,0,0.375,0.98,1,-8.2,-45.5,559.2,0.118,-0.017,-0.015,2.89,1.71,0.0,0.0,0.63,1.76,0.0,0.23,2.44,1.16,0.0,0.0,0.27,0.0,0.94,0.27,1.32,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Deceptive
